method,order,mean,median,min,max,count,rank
GP-Julia-AD,6,0.5008741563533167,0.4649781004537761,0.1445081507695127,0.93035659081479,7,1
GP_RBF_Iso_Python,6,0.5215370145320501,0.4842905871694434,0.158716795167228,0.9389241417115968,7,2
GP_RBF_Python,6,0.5215372881468793,0.4842902504825505,0.1587185732905406,0.938924114081748,7,3
gp_rbf_mean,6,0.521537354892829,0.4842905878347401,0.1587186198262244,0.9389241141605776,7,4
Fourier-Interp,6,0.8531838336138087,0.8148139657374177,0.8146183020949097,1.033450926138259,7,5
ad_trig,6,0.8671061666497758,0.8230684850061817,0.8229281055755209,1.0745463085619456,7,6
TrendFilter-k7,6,0.9949366764276635,0.9949366764276636,0.9949366764276636,0.9949366764276636,7,7
Savitzky-Golay,6,0.9949366764276635,0.9949366764276636,0.9949366764276636,0.9949366764276636,7,8
TrendFilter-k2,6,0.9949366764276635,0.9949366764276636,0.9949366764276636,0.9949366764276636,7,9
fourier,6,1.2067179636483905,0.569189028432367,0.5646022213792586,3.695660332181499,7,10
fourier_continuation,6,1.2259258363510601,0.5848768917264818,0.5780346715483619,3.724322779752123,7,11
chebyshev,6,2.606141386306447,2.5616962694339405,2.5575690920083285,2.76831287148339,7,12
SpectralTaper_Python,6,10.334605435364441,5.485564135479284,5.073894544620704,28.085523761857928,7,13
TVRegDiff_Python,6,53.700520290966274,47.18684571288364,14.24669335809599,139.79768409673196,7,14
GP-Julia-SE,6,738195.1029423212,739373.3981120967,733752.4073855205,739471.8954208452,7,15
AAA-LowPrec,6,6876302565226587.0,0.6587743973136185,0.6168073647445279,4.813411795658611e+16,7,16
AAA-HighPrec,6,3.002182365122428e+18,2.940752584081172e+16,29723369.95097284,2.0769337553421054e+19,7,17
