method,order,mean,median,min,max,count,rank
GP-Julia-AD,7,0.6197659075084215,0.633019169358287,0.2766184681731604,0.9731888561251376,7,1
GP_RBF_Iso_Python,7,0.636799330999839,0.6515229946516287,0.2920746849455125,0.9769834510559594,7,2
GP_RBF_Python,7,0.6367998576747336,0.6515226739405287,0.2920778085064248,0.9769834387504572,7,3
gp_rbf_mean,7,0.6367999447879118,0.6515230837903649,0.2920779059199265,0.9769834387044416,7,4
Fourier-Interp,7,0.9372376516079542,0.9159263169081264,0.9158120130721352,1.038396201934626,7,5
ad_trig,7,0.9459906915166048,0.9210628083284408,0.9209929462979188,1.0649403223721967,7,6
GP-Julia-SE,7,0.9949366763764996,0.9949366763764996,0.9949366763764996,0.9949366763764996,7,7
Savitzky-Golay,7,0.9949366763764996,0.9949366763764996,0.9949366763764996,0.9949366763764996,7,8
TrendFilter-k7,7,0.9949366763764996,0.9949366763764996,0.9949366763764996,0.9949366763764996,7,9
TrendFilter-k2,7,0.9949366763764996,0.9949366763764996,0.9949366763764996,0.9949366763764996,7,10
fourier,7,1.3228290908550364,0.7380561944599524,0.7345279545125335,3.6733836704730702,7,11
fourier_continuation,7,1.344808442889228,0.7544621923686056,0.748572331527388,3.708445846523958,7,12
chebyshev,7,1.4947929960802686,1.478292534118424,1.4767896726324772,1.5553747785402228,7,13
SpectralTaper_Python,7,10.540361741782116,5.880578258782329,5.477998658876573,27.603076254682804,7,14
AAA-LowPrec,7,9.784724967199896e+18,0.7693899058334095,0.7273848038223099,6.849307477039927e+19,7,15
AAA-HighPrec,7,1.2739336742475712e+22,7.950746221055045e+19,21271222556.090824,8.866508096961271e+22,7,16
