order,mean,median,min,max
0,0.06658678643573072,0.061895576462503,0.0596179522367425,0.0882641070836339
1,1.1148633900820093,0.0768594945666551,0.0738221352477769,7.336904473265775
2,1542.3843820093105,0.1480709947560221,0.1342298501494292,10795.797978803044
3,2291520.2676237174,0.2622807639014141,0.2366599466701782,16040640.29643348
4,3317480312.909576,0.39860521206281,0.3643775381532392,23222362187.973618
5,4772553467870.1,0.5355809534923669,0.4960231975936762,33407874275087.49
6,6876302565226587.0,0.6587743973136185,0.6168073647445279,4.813411795658611e+16
7,9.784724967199896e+18,0.7693899058334095,0.7273848038223099,6.849307477039927e+19
