method,order,mean,median,min,max,count,rank
GP-Julia-AD,1,0.02495227962586887,0.0049189839893975,0.0003457444965358,0.0930576201403214,7,1
GP_RBF_Python,1,0.026849577827230704,0.0052232294878068,0.0003627422073132,0.0976483129603239,7,2
gp_rbf_mean,1,0.026849580574476443,0.0052232350915003,0.0003627425287481,0.097648313166873,7,3
GP_RBF_Iso_Python,1,0.02684958153777967,0.0052232365910515,0.0003627327235459,0.0976483269020175,7,4
Dierckx-5,1,0.031263896699992286,0.0040553881371216,0.000162964192363,0.120607953507611,7,5
fourier_continuation,1,0.03736099870598359,0.0074740958586908,0.0069981979813168,0.1451766238314038,7,6
fourier,1,0.03740738468422936,0.0074307570891869,0.0068836000770925,0.1455008325459449,7,7
Fourier-Interp,1,0.04065539193117513,0.0265500960034418,0.0264755415440077,0.0992967468161678,7,8
ad_trig,1,0.04115526368994134,0.0265299475967418,0.0264600116178566,0.1018277871291646,7,9
Central-FD,1,0.05677571296788856,0.0324900187844649,0.0322759908206541,0.1544982580766588,7,10
RKHS_Spline_m2_Python,1,0.08231561595119026,0.0406359491373959,0.0378209225310062,0.2929527348984495,7,11
TrendFilter-k2,1,0.18460820984402374,0.1815936731596679,0.1815349854294602,0.1981595962132591,7,12
TrendFilter-k7,1,0.1854810656359545,0.1817242039347646,0.1813461607987744,0.2018981451062157,7,13
ButterworthSpline_Python,1,0.20595725026594902,0.2054374929276655,0.2054254744131835,0.208329541035645,7,14
TVRegDiff_Python,1,0.3036056317173889,0.2947720788768042,0.2223083195724818,0.4519862692989434,7,15
chebyshev,1,0.34901054021587996,0.3474770256518181,0.3473755839191377,0.3551413379983825,7,16
TVRegDiff-Julia,1,0.3792373327836989,0.3732961350058501,0.3727282684272597,0.4059787474535334,7,17
Whittaker_m2_Python,1,0.5212194634304546,0.5214139251140367,0.520536222821857,0.521433995285633,7,18
Butterworth_Python,1,0.576609497109135,0.5764149713893768,0.5763992083222645,0.5773497965453722,7,19
SpectralTaper_Python,1,0.7023821351207152,0.7152849462796121,0.6700668176151484,0.7187419136839931,7,20
KalmanGrad_Python,1,0.8396567628157305,0.8395229092892326,0.8395125048082163,0.8401717268555218,7,21
SVR_Python,1,0.8716531899081783,0.8716455830428117,0.8716134971042258,0.8717065265547345,7,22
GP-Julia-SE,1,0.9949368687915188,0.9949368687915188,0.9949368687915188,0.9949368687915188,7,23
Savitzky-Golay,1,0.9949368687915188,0.9949368687915188,0.9949368687915188,0.9949368687915188,7,24
AAA-LowPrec,1,1.1148633900820093,0.0768594945666551,0.0738221352477769,7.336904473265775,7,25
AAA-HighPrec,1,2.564136519325687,0.1532215540487146,1.2465665342861203e-06,10.36690016123693,7,26
SavitzkyGolay_Python,1,3.451616136995117,3.456557360185325,3.438347217183743,3.4580116027340257,7,27
