method,order,mean,median,min,max,count,rank
GP-Julia-AD,4,0.2750584044068547,0.1760787771405264,0.0377505302410535,0.6830109178110617,7,1
GP_RBF_Iso_Python,4,0.291365993734809,0.182632187378855,0.0362337887575713,0.7017760507163864,7,2
GP_RBF_Python,4,0.2913661275269333,0.1826320161667147,0.0362347676809487,0.7017759891113758,7,3
gp_rbf_mean,4,0.2913661694188752,0.1826321587321985,0.0362347856155079,0.7017759898196166,7,4
Dierckx-5,4,0.45997539226823386,0.351628020181751,0.1222729728555026,0.9765278867067106,7,5
Fourier-Interp,4,0.5179047268911129,0.456227446098331,0.4559308098018511,0.7984183803822601,7,6
ad_trig,4,0.5310213790661816,0.4634545219143991,0.4632214689764635,0.8383453915006535,7,7
fourier,4,0.6479915704830841,0.2242782660666321,0.2200543390842875,2.238317856413828,7,8
fourier_continuation,4,0.6588076424175788,0.2377394345481628,0.2333765673579845,2.2453883531350067,7,9
ButterworthSpline_Python,4,0.7974090107893697,0.7954784545925855,0.7953777960005605,0.8054859711592157,7,10
Whittaker_m2_Python,4,0.9600153204997517,0.9597914774269444,0.9597851272863036,0.9610224555042932,7,11
Butterworth_Python,4,0.9877030680587243,0.9877066423263332,0.9876902812156744,0.98770699389678,7,12
KalmanGrad_Python,4,0.9942635014896638,0.9942620635837628,0.9942619477470038,0.9942689796648144,7,13
SVR_Python,4,0.9948452996070832,0.994845296116873,0.9948452602870488,0.9948453391466816,7,14
TrendFilter-k2,4,0.9949366806646494,0.9949366806646496,0.9949366806646496,0.9949366806646496,7,15
Savitzky-Golay,4,0.9949366806646494,0.9949366806646496,0.9949366806646496,0.9949366806646496,7,16
TrendFilter-k7,4,0.9949366806646494,0.9949366806646496,0.9949366806646496,0.9949366806646496,7,17
chebyshev,4,3.3054645527913977,3.2691822177609158,3.2658495831124417,3.438338926618242,7,18
SpectralTaper_Python,4,5.256892557947848,2.680441050151636,2.46725885596835,14.698177246230854,7,19
TVRegDiff_Python,4,5.6611020837987445,4.575440184747944,2.0175755955584056,13.929422363654965,7,20
RKHS_Spline_m2_Python,4,7.264750746447481,0.7113795726411011,0.7100109636755487,40.32216516728959,7,21
SavitzkyGolay_Python,4,2029.9903519095994,781.1646306911371,775.6024219235395,6784.067158419741,7,22
GP-Julia-SE,4,19567704.874587428,19598938.52957278,19449940.13784415,19601549.44661497,7,23
AAA-LowPrec,4,3317480312.909576,0.39860521206281,0.3643775381532392,23222362187.973618,7,24
AAA-HighPrec,4,160882012630.7382,3767657350.016045,57.85503888155129,1069720018338.602,7,25
