order,mean,median,min,max
0,0.011294193912252535,0.0009748258053233,9.748257936952666e-09,0.0487412902661556
1,2.564136519325687,0.1532215540487146,1.2465665342861203e-06,10.36690016123693
2,8820.170081887005,421.7602343699167,0.0002641159301305,48934.5010710421
3,37294184.50157295,1294658.6918769786,0.0968340424287285,234148456.40297687
4,160882012630.7382,3767657350.016045,57.85503888155129,1069720018338.602
5,695414049776951.6,10615214069163.486,40890.95041296607,4750179947502818.0
6,3.002182365122428e+18,2.940752584081172e+16,29723369.95097284,2.0769337553421054e+19
7,1.2739336742475712e+22,7.950746221055045e+19,21271222556.090824,8.866508096961271e+22
