method,order,mean,median,min,max,count,rank
GP-Julia-AD,5,0.3932436977678849,0.3052611072644666,0.0857316805083107,0.8393255609142085,7,1
GP_RBF_Iso_Python,5,0.4110211257350135,0.3182191458309027,0.0854095108207274,0.8542051328447613,7,2
GP_RBF_Python,5,0.4110212793338091,0.3182188590934801,0.0854106895613593,0.8542050878576596,7,3
gp_rbf_mean,5,0.4110213327664682,0.318219153721782,0.085410720373247,0.8542050882521265,7,4
Fourier-Interp,5,0.7134500160941578,0.6580059767522455,0.6577294552218601,0.9701686009377424,7,5
ad_trig,5,0.727575513385475,0.6660323307196556,0.6658552418039246,1.0132460294442576,7,6
ButterworthSpline_Python,5,0.907434536137428,0.9061748700585518,0.9061310167042884,0.9129932143660644,7,7
Dierckx-5,5,0.9456979878817036,0.8633363300681808,0.6644907773321589,1.502233355153996,7,8
fourier,5,0.9634417072544895,0.3920611207897826,0.387326756258901,3.148447528770171,7,9
Whittaker_m2_Python,5,0.9827307052979014,0.9820392943306728,0.982019544425192,0.9858392391801748,7,10
fourier_continuation,5,0.9836771154965626,0.4152148311563252,0.4096040740509187,3.164588687719736,7,11
Butterworth_Python,5,0.9938543998877282,0.9938551080377044,0.9938518486610648,0.993855176338467,7,12
KalmanGrad_Python,5,0.9948385942429621,0.9948381526702044,0.9948381141148904,0.994840237478992,7,13
SVR_Python,5,0.9949343489722978,0.9949343486644008,0.9949343480939012,0.9949343510156688,7,14
GP-Julia-SE,5,0.9949366768459252,0.9949366768459252,0.9949366768459252,0.9949366768459252,7,15
Savitzky-Golay,5,0.9949366768459252,0.9949366768459252,0.9949366768459252,0.9949366768459252,7,16
TrendFilter-k7,5,0.9949366768459252,0.9949366768459252,0.9949366768459252,0.9949366768459252,7,17
TrendFilter-k2,5,0.9949366768459252,0.9949366768459252,0.9949366768459252,0.9949366768459252,7,18
chebyshev,5,3.6101984898027433,3.549004221607552,3.543295433321085,3.833167295928048,7,19
SpectralTaper_Python,5,8.31995432136297,4.807149083846499,4.509482402219934,21.212572572451663,7,20
RKHS_Spline_m2_Python,5,12.842365536134148,1.2365305019314323,1.23481522155149,71.95949141165484,7,21
TVRegDiff_Python,5,35.410497666645256,30.80890426523818,9.44608934820694,91.96177567768864,7,22
SavitzkyGolay_Python,5,90359.86487390978,50392.19953069864,49730.21469671976,249234.4628268353,7,23
AAA-LowPrec,5,4772553467870.1,0.5355809534923669,0.4960231975936762,33407874275087.49,7,24
AAA-HighPrec,5,695414049776951.6,10615214069163.486,40890.95041296607,4750179947502818.0,7,25
