noise_level,mean,median,min,max,count
1e-08,0.016138000284456076,0.016138000284456076,9.748258056992572e-09,0.0322759908206541,2
1e-06,0.01613851997311586,0.01613851997311586,9.748258053202889e-07,0.0322760651204264,2
0.0001,0.016191180139813507,0.016191180139813507,9.748258053231066e-05,0.0322848776990947,2
0.001,0.016732422294894,0.016732422294894,0.0009748258053231,0.0324900187844649,2
0.01,0.027201565679547998,0.027201565679547998,0.009748258053231,0.044654873305865,2
0.02,0.044223211537259055,0.044223211537259055,0.0194965161064621,0.068949906968056,2
0.05,0.10161977417140709,0.10161977417140709,0.0487412902661554,0.1544982580766588,2
