noise_level,mean,median,min,max,count
1e-08,0.07329677283003158,0.02367356561423005,3.2388118963012275e-05,0.2920779059199265,8
1e-06,0.0734472912412406,0.0237560029131152,3.256874141554892e-05,0.2926007372393577,8
0.0001,0.10814887159982367,0.04411666406973555,0.0001160783801323,0.3955225998713538,8
0.001,0.21852415504037062,0.13171841671014006,0.0008986562231242,0.6515230837903649,8
0.01,0.39565516472551837,0.34677854923554685,0.0072897470711274,0.8985036687715645,8
0.02,0.47211346637288587,0.47155910185469413,0.0140205585699981,0.9503881792183734,8
0.05,0.5448568602175046,0.596270686065011,0.0310557488435005,0.9769834387044416,8
