noise_level,mean,median,min,max,count
1e-08,2662623359.3680434,28.97593646199001,9.748257936952666e-09,21271222556.090824,8
1e-06,946272744150553.0,689358.5993610366,9.748258054057676e-07,7565796521248464.0,8
0.0001,1089613708507.3169,120399.62669998588,9.74825805326173e-05,8690264787735.906,8
0.001,9.942110044421786e+18,1884476004.353961,0.0009748258053233,7.950746221055045e+19,8
0.01,1.9601513617419137e+19,7004566152.360984,0.0097482580532307,1.567412378269336e+20,8
0.02,1.1085731882302005e+22,534977083397.5025,0.0194965161064622,8.866508096961271e+22,8
0.05,3.4270714534961136e+19,19350638511.919724,0.0487412902661556,2.7401995317172116e+20,8
