noise_level,mean,median,min,max,count
1e-08,0.0732958299670064,0.0236729574506152,3.2387204368036695e-05,0.2920746849455125,8
1e-06,0.0734469964951222,0.0237558060135685,3.256848078316574e-05,0.2925997419108476,8
0.0001,0.10814884225561222,0.04411661861472755,0.00011607849474,0.3955225389544249,8
0.001,0.21852415194540303,0.13171845099306664,0.0008986563427352,0.6515229946516287,8
0.01,0.3956552486674659,0.3467786735749775,0.0072897491117454,0.8985037490098504,8
0.02,0.47211343107030046,0.47155904220287137,0.0140205569174785,0.9503881564706496,8
0.05,0.5448568908041814,0.5962707421235495,0.0310557511856581,0.9769834510559594,8
