noise_level,mean,median,min,max,count
1e-08,40071800.00825542,0.99493677337247,9.748258057093942e-09,300233374.7442606,8
1e-06,40071794.74147312,0.99493677337247,9.748258053216278e-07,300233335.2834957,8
0.0001,40071267.92167866,0.99493677337247,9.748258053231432e-05,300229388.1463472,8
0.001,40066462.46374516,0.99493677337247,0.0009748258053231,300193383.8015546,8
0.01,40016813.11189982,0.99493677337247,0.009748258053231,299821391.7029925,8
0.02,39958275.97304128,0.99493677337247,0.0194965161064622,299382808.8758189,8
0.05,27414489.69911822,0.99493677337247,0.0487412902661554,199132221.0192279,8
