noise_level,mean,median,min,max,count
1e-08,8457.657381882384,118.03145985460492,0.0372642747539307,49730.21469671976,6
1e-06,8457.728439344746,118.03139106940226,0.0372642806636774,49730.64797423631,6
0.0001,8465.228845740408,118.02498254468681,0.0372649026059962,49776.225558536535,6
0.001,8568.812801642986,118.00940886960585,0.037273368742002,50392.19953069864,6
0.01,12290.061871123684,121.98227800513463,0.0376349913497232,71961.85558157401,6
0.02,19125.148060180552,134.13448707786333,0.0386108192184187,111693.44794876792,6
0.05,42736.52440180396,198.5624696906865,0.0446497563733436,249234.4628268353,6
