noise_level,mean,median,min,max,count
1e-08,0.06970908772639105,0.024073620762659002,2.8551409352449946e-05,0.2766184681731604,8
1e-06,0.06985561255436673,0.02415158603829245,2.869264612530517e-05,0.2770973465032599,8
0.0001,0.10145764940374359,0.0388175091677165,0.0001051603224295,0.3757840597059852,8
0.001,0.21050080472124444,0.1260011759292252,0.0008609531631055,0.633019169358287,8
0.01,0.3666057035395482,0.30657697813170476,0.0067485746354443,0.8672392139954145,8
0.02,0.45007985278378515,0.43437552870382923,0.0132907542993532,0.9354142386977063,8
0.05,0.5340463471484983,0.5767612927071626,0.0300631731533587,0.9731888561251376,8
