noise_level,mean,median,min,max,count
1e-08,0.2669396578045547,0.17590007173285094,0.0010484052024258,0.748572331527388,8
1e-06,0.2669401807471749,0.1758996519915356,0.0010483835631018,0.7485747500649494,8
0.0001,0.2670197458591598,0.1758920482140215,0.0010485488427431,0.7488509346664788,8
0.001,0.27019760345234817,0.17892103493279715,0.0012434455739971,0.7544621923686056,8
0.01,0.4603412985511136,0.38933778043993084,0.0070682011877681,1.057000172751281,8
0.02,0.785315920460791,0.7183656755310924,0.0140522619459138,1.647752872321935,8
0.05,1.8505900860176436,1.7527502527153311,0.0350979399750534,3.724322779752123,8
