noise_level,mean,median,min,max,count
1e-08,0.07329674760290086,0.023673553378379952,3.2388077033185775e-05,0.2920778085064248,8
1e-06,0.07344720397777939,0.02375593791445205,3.256868165814875e-05,0.2926004475327547,8
0.0001,0.10814896770586988,0.0441167318999887,0.0001160785415064,0.3955228499041385,8
0.001,0.21852399468811137,0.13171831557825942,0.0008986555081296,0.6515226739405287,8
0.01,0.3956551150251557,0.34677847583090193,0.0072897459130565,0.8985036207074799,8
0.02,0.4721134436707041,0.47155906385085866,0.0140205574216295,0.950388164381351,8
0.05,0.5448568599591659,0.5962706854025216,0.0310557487396614,0.9769834387504572,8
