Method,Avg. Rank (Low Noise),Avg. nRMSE (Low Noise),Avg. Rank (High Noise),Avg. nRMSE (High Noise)
GP-RBF-Iso-Python,3.0,0.07015081263603694,2.2708333333333335,0.45507604583253963
GP-Julia-AD,2.5625,0.05778859049977078,2.4583333333333335,0.4548994384664618
GP-RBF-Python,3.875,0.07015133039494942,3.3125,0.45507605070331536
GP-RBF-Mean-Py,3.375,0.07015119578494038,3.5416666666666665,0.45507605057239103
Fourier-Continuation,9.979166666666666,0.5492227392011012,6.4375,0.5965786547506459
Fourier,10.604166666666666,0.6220984826265232,7.541666666666667,0.6706042555103328
Fourier-GCV,10.1875,0.5691162229630002,7.604166666666667,0.6105760811268974
Fourier-Cont-Adaptive,11.479166666666666,0.7348576239953576,8.8125,0.7407467697176693
FFT-Adaptive-Julia,8.8125,0.5939595969291745,8.875,0.7007147832420838
FFT-Adaptive-Py,11.25,0.9896500688193354,9.708333333333334,0.7119283020275272
Fourier-Interp,8.791666666666666,1.1139153971403497,10.166666666666666,8.863036264357858
GSS,13.4375,0.8034793654903357,11.208333333333334,0.8038542610948697
Chebyshev,15.0625,1.6371482388503393,13.458333333333334,1.6363847598169308
AAA-Adaptive-Diff2,9.708333333333334,124849.40542456222,13.729166666666666,2363032852954463.0
Chebyshev-AICc,15.604166666666666,14.00371937382114,13.75,14.236526090157215
AAA-Adaptive-Wavelet,7.020833333333333,70225.85108613978,13.895833333333334,6.098342372234264e+17
AAA-LowPrec,8.25,0.31213454822082903,16.229166666666668,7.6039805241663585e+28
